标题,标题1,作者,内容
第一版 要闻,三问破“四唯”,,"
日前，国内几所知名高校的博士、教授涉嫌学术不端的新闻持久霸占热搜榜。据媒体报道，南京大学教授梁莹凭着至少15篇存在抄袭或一稿多投的论文，得以申请学位、获得研究经费、入选各项人才计划。这背后暴露的是科技界诟病已久的人才评价“四唯”倾向，即“唯论文、唯职称、唯学历、唯奖项”。
呼声在哪里，改革就延伸到哪里。2018年以来，中央密集出台政策文件向“四唯”亮剑。同年10月，科技部、教育部、人力资源社会保障部、中科院和中国工程院联合发布《关于开展清理“唯论文、唯职称、唯学历、唯奖项”专项行动的通知》（以下简称《通知》），明确清理范围，指明任务方向，人社部门重点清理人才项目、职称评审等工作中涉及“四唯”的做法。一场刀刃向内的自我变革推动更科学的人才评价机制加快形成。
专项清理的情况和效果如何？更加科学的评价标准如何树立？近日，记者走访有关部门和科研机构，一探究竟。
哪些做法被清理？
2017年10月，第三批北京学者榜单揭晓，北京生命科学研究所研究员李文辉的经历引人注意：近10年奖项、承担科研项目、入选人才计划近乎空白。而首批北京学者邵峰，当初在申报时没有任何专业技术职称。两人都因为取得生命科学基础研究领域世界领先的原创成果入选。邵峰还在培养周期内当选为中科院最年轻的院士。
两位学者的入选折射出人才评价领域的可喜变化：曾经犹如“达摩克利斯之剑”悬于人才头上的论文、学历、奖项等硬性指标要求，已经逐渐淡化，不再是晋升路上的拦路虎。北京汽车工程学会秘书长陈卫民告诉记者，“以往业内拥有修车‘三剑客’等名头的技术大拿都因为论文、学历的限制，在职称晋升时吃过闭门羹，近两年他们都评上了高级职称。”
不唯论文、职称、学历和奖项，注重品德、业绩和能力，正是人才评价体制机制改革和此次清理行动的题中之义。
近年来，人社部牵头制定的人才评价政策文件，均将破除“四唯”作为重要内容。如《关于分类推进人才评价机制改革的指导意见》强调克服唯学历、唯资历、唯论文等倾向；《关于深化职称制度改革的意见》系统地将职称评价标准归纳为品德、能力、业绩三个方面，对长期在艰苦边远地区和基层一线工作的专业技术人才放宽学历、论文要求，不把论文、奖项作为职称评审的门槛性条件。
各职称系列的评审中，“四唯”问题是否已经破除了呢？在已经出台的中小学教师、技工院校教师、会计等系列的改革意见中，充分体现了不唯论文、学历、奖项的要求，而尚未改革的其它职称系列，评价标准还不同程度地存在对论文数量、学历高低和奖项的规定。对此，人社部专业技术人员管理司相关负责人透露：“下一步我们将结合各职称系列改革，对涉及‘四唯’的做法进一步明确规范，从源头上遏制。”
同时，人才工程计划中涉及“四唯”的做法也被集中清理。记者从人社部了解到，此次专项行动清查出政府特殊津贴、国家百千万人才工程、高层次留学人才等三项人才工程计划的申报条件还存在对人才职称、学历的硬性要求，这些都将被整改，具体做法是对作出突出业绩贡献的人选放宽职称、学历等要求。
五部门联合发布《通知》后，拉网式的清理工作在全国各地展开。评价标准“一刀切”、重论文轻业绩、学术造假等问题被列入整改清单。目前，从全国31个省区市报送的清理工作报告看，大部分地区建立了区分学术型、技术型、管理型等不同类型人才特点的评价标准，合理设置评价指标，分类施策，避免“一把尺子量到底”。
“破‘四唯’，不是对既有的人才评价、学科评价标准推倒重来，而是去探索如何纠正不良倾向，发掘更能佐证人才能力价值的指标体系，得出更科学精准的评价结论。”北京大学政府管理学院教授萧鸣政说。
破后怎么立？
2018年7月，77名专业技术人才被评为北京市首批正高级经济师和正高级会计师，其中44人选择用非论文的代表作参评。获准破格申报的京东物流CEO王振辉，是本次评审改革的受益者，“这次评价标准是根据企业人才特点量身定制的，不同于高校院所，看重的是人才在企业经营管理、商业模式创新等方面的突出业绩，非论文的代表作可以是企业发展规划，也可以是项目报告。”
去年以来，党中央、国务院先后出台的《关于分类推进人才评价机制改革的指导意见》《关于深化项目评审、人才评价、机构评估改革的意见》以及《关于优化科研管理提升科研绩效若干措施的通知》从顶层设计为精准评价人才擘画方向，“实行分类评价”“科学设立人才评价指标”“建立以创新质量和贡献为导向的绩效评价体系”等等，种种改革举措赢得各行各业人才的掌声，那么，好的政策如何落地不走样？
纠建兼顾，破立并举。“明确每个职称的代表作是什么，这是分类精准评价人才实绩的基础和前提。”中国人事科学院研究员吴江说。
不少地方在清理“四唯”工作的同时，已作出一些探索。
浙江推行以“职业分类为基础”的分类评价，围绕浙江优势产业，对工程师职称进行细分，让评出来的工程师更对企业“胃口”。以塑料机械行业为例，学历、资历、论文、科研项目，都不作硬性规定，而是以塑机研发、制造的核心业绩为主，在企业里主持研发产品并创造重大效益的人才，同样能评上高级工程师。主持制定国家标准的，甚至可以免评审，直接拿到高级职称。
青海省改进农牧系列职称评审标准，由过去的“定性评价”改为“定性+量化赋分”，论文分值占比不超过50%，且可用研究报告、工作总结等替代，其余50%分值着重突出培育新品种、推广新技术等业绩。
上海市完善职称评聘工作实施细则，在工业、建设等行业的15个高评委中均未将论文作为高级工程师申报的必备条件，卫生系列职称评审采取量化赋分办法，临床实践能力评审权重占到50-60%。
目前，全国大部分地方都为业绩突出的非公组织人才、海外高层次人才开辟了“绿色通道”“直通车”，只要符合相应的业绩能力要求，均可直接申报高级职称；对在艰苦边远一线工作的工程领域高技能人才、职业农民，淡化学历要求，一批“四无”土专家脱颖而出；而对于专业技术人才职业道德的考察提到了前所未有的高度，对弄虚作假、违反师德师风等情形实行一票否决。
意在树立什么导向？
2017年，一则激励科研成果转化的人才新政吸引科技人员的注意，辽宁省发布《辽宁省科技成果转化成绩优异人员专业技术资格评定暂行办法》，成为全国第一个以科技成果转化绩效作为职称评定标准的省份。同年，48名在成果转化方面业绩突出的人才获得正高级职称。
“清理‘四唯’，注重以实绩评价人才，最终就是要树立激励人才创新创造的导向，让科研人员多出成果、多实现成果转化。”人社部专技司相关负责人说。
科研成果转化是科技创新活动的“最后一公里”，成果能否转化为生产力，关系人才作用是否真正发挥出来。但从实践来看，打通“最后一公里”还存在一些痛点。
记者在多所高校和科研院所了解到，尤其是在一些应用性较强的学科中，本应作为科技成果转化“生力军”的中青年科研人员，论文、项目和头衔仍是其职称职务晋升的主要考察指标。而科技成果转化又需要投入大量精力，科研人员难免会“分身乏术”。
那么，通过人才评价体制机制改革以及清理“四唯”工作，能否达到为科研人员“减负”“松绑”的目的，助力科研成果转化呢？全国各地，尤其是广东、福建、上海、北京等科技创新大省纷纷出实招，一批参与成果转化的科研人员已经享受到政策红利。
广东省制定实施改革科技人员职称评价的若干意见，将技术交易额、年均销售收入、年均缴税额、科技成果转化等市场化指标替代论文要求，对于发明专利转化应用成效突出的可降低或不作论文要求。
福建省出台深化科技人员职称评价改革的若干意见，进一步强化创新创业成果评价权重，科研人员技术项目转让交易额达到一定标准可替代课题研究成果或论文要求。
上海市完善人才发展资金评价要素，降低论文、职称、学历、奖项等评价权重，将知识产权及成果转化、承担的重大项目、工作业绩等实践成果比重扩大到60%。
“这就有利于技术人员把主要精力放在技术研究和开发上，引导更多科技人员参与技术创新，避免为发论文和跑科研项目费心费力。”广东省人社厅相关负责人说。
专家表示，随着清理“四唯”专项行动全面推开，从中央到地方，形成了扭转不科学评价导向的合力，未来科技人员的科研创新路会越走越宽、越走越稳。"
第一版 要闻,“新春第一课”开讲,,"本报昆山讯 （通讯员 昆组轩）今年以来，江苏昆山市积极探索创新党员教育管理方式，用心打造精品化、特色化党课品牌。2月22日，昆山市党员教育公开课——“新春第一课”在昆剧院举办。
公开课以“百年回响，初心不忘”为主题，将时代进步与城市发展相结合，融音乐党课、红色诵读、情景剧为一体。300多名党员代表齐聚一堂，重温入党誓词，回首党的光辉历程，回顾改革开放40年来昆山发展巨变，接受了一场思想洗礼和党性淬炼。公开课由昆山市委组织部主办，为推进区域党建共建，还特别邀请了上海嘉定、青浦和浙江嘉善等地组织部门参加。"
第一版 要闻,选人用人专项检查发力精准,,"本报广州讯 （通讯员 粤组）去年下半年以来，广东积极探索选人用人专项检查与巡视深度融合，结合省委巡视，对市、县（市、区）和省直单位党委（党组）开展选人用人专项检查，狠抓巡视整改落实，取得积极成效。
借势借力，发挥巡视独特优势。把选人用人检查纳入省委巡视工作总体部署。2018年第四季度，组建13个专项检查组，对39个党组织选人用人工作进行检查。工作机制上，检查组由省委组织部派出，进驻后接受巡视组组长领导，重要事项及时向巡视组组长请示报告。工作内容上，检查组聚焦选人用人方面问题，不参与其他工作。任务分工上，与巡视组紧密合作，共享选人用人问题线索。工作成果上，检查情况报告经省委巡视组组长审核，并报省委组织部把关审定后，纳入省委巡视组反馈意见，由省委巡视办向被巡视党组织同步反馈。
精准发力，从严从实查找问题。梳理《选人用人主要问题及查核参考要点》和不规范问题清单，编印《选人用人检查工作学习资料》，专题培训检查人员。提前收集梳理被巡视党组织选人用人问题线索，主动对接巡视组前期谈话、信访举报、查阅资料等掌握的有关情况，综合运用听取汇报、个别谈话、查阅资料、现场检查等手段，组织实施检查工作。紧盯选育用管全链条，着力发现坚持政治标准不够、在选人用人上党的领导弱化、用人导向不正、执行干部工作政策和程序不严等问题。十二届省委第三轮巡视检查期间，共发现各类选人用人问题630个。
传导压力，落实整改工作责任。省委巡视工作领导小组成员参加巡视反馈，直指被巡视党组织选人用人问题，提出整改意见。召开选人用人问题整改工作部署会，点名道姓通报具体选人用人问题，明确整改要求。对整改不力或搞虚假整改的，严肃追责问责。对检查发现的全局性、深层次问题进行分析研判，在全省范围内开展专项整治行动。深入推进执行任职回避制度不严问题专项整治，结合机构改革在市县两级全面铺开。开展干部人事档案调研检查，对2014年专项审核范围外的干部人事档案进行全覆盖审核。深化超职数配备干部问题专项整治，多管齐下消化存量、严控增量。针对检查发现普遍存在执行选人用人程序和规定不规范问题，进一步深化“选人用人工作规范化行动年”计划。"
第一版 要闻,充分发挥党建高端智库作用,,"本报北京讯 （记者 吴叶柳）2月25日，全国党建研究会第六届理事会第四次全体会议在北京召开。会长李景田代表常务理事会作工作报告。中央组织部副部长、国家公务员局局长傅兴国，中央组织部部务委员兼基层办主任毛定之出席会议。
会议指出，过去的一年，全国党建研究会深入学习领会宣传习近平新时代中国特色社会主义思想和党的十九大精神，认真学习贯彻《关于进一步发挥全国党建研究会党建高端智库作用的意见》，扎实做好课题研究和理论研讨活动，各方面工作取得了显著成绩。
会议要求，新的一年，全国党建研究会要以习近平新时代中国特色社会主义思想为指导，按照党建高端智库的要求，坚持求真务实，开拓创新，稳中求进，深入开展“贯彻落实习近平总书记重要指示批示精神 开展攻坚克难案例研究”和“推动党的创新理论刻骨铭心进头脑研究”“新时代党的组织路线研究”等重点课题研究工作，继续组织编写《中国化的马克思主义党建理论体系概论》，举办新中国70年中国共产党治国理政成就与经验理论研讨会等党建研讨活动，为推进党的建设新的伟大工程作出更大贡献，以优异成绩迎接中华人民共和国成立70周年。"
第一版 要闻,担当作为 狠抓落实,,"本报郑州讯 （通讯员 豫组轩）2月18日，河南召开全省组织部长会议，部署2019年组织工作。省委常委、组织部长孔昌生出席会议并讲话。
会议指出，要树牢“四个意识”、坚定“四个自信”、做到“两个维护”，把高质量发展作为主题，把担当作为、狠抓落实作为主调，确保中央部署和省委要求落地见效，为新时代中原更加出彩提供坚强组织保证。
会议要求，要坚持以党的政治建设为统领，推动组织工作高质量。以学习贯彻习近平新时代中国特色社会主义思想为主要内容，深入开展“不忘初心、牢记使命”主题教育。以树牢学的导向、干的导向、严的导向为引领，打造忠诚干净担当的高素质干部队伍。以省委大抓基层基础工作为契机，扎实推进党的组织体系建设。以优化人才发展环境为重点，激发人才创新创造创业活力。认真落实新一轮干部教育规划，突出政治统领、服务大局这一根本要求，着力增强时代性针对性有效性，建强培训保障体系，高质量做好新时代干部教育培训工作。带头学起来、干起来、严起来，筑牢“两个绝对”的思想根基，展示“两个绝对”的担当作为，彰显“两个绝对”的政治本色，着力建设“政治上绝对可靠、对党绝对忠诚”的组工干部队伍。"
第一版 要闻,人力资源社会保障部召开全国社会保险扶贫推进暨城乡居民养老保险工作会,,"本报昆明讯 （记者 任社宣）2月26日，人力资源社会保障部在云南昆明召开全国社会保险扶贫推进暨城乡居民养老保险工作会。会议的主要任务是学习贯彻习近平总书记关于脱贫攻坚专项巡视的重要讲话精神，研究部署巡视整改工作，对社会保险扶贫工作进行再动员、再部署。人力资源社会保障部党组成员、副部长游钧出席会议并讲话。
会议总结了2018年社会保险扶贫工作。截至2018年底，全国城乡居民养老保险参保人数52392万人，其中实际领取待遇人数15898万人，有4900多万贫困人员直接受益；工程建设领域在建、新开工建设项目参保率均在99%以上；全年失业保险基金共向40.2万名失业农民工发放一次性生活补助18.2亿元。
会议要求，各级社保战线同志要进一步深入学习习近平总书记关于扶贫工作的重要论述，提高政治站位，把社会保险扶贫当作政治任务来抓；要聚焦中央巡视反馈意见中指出的民生保障职能优势发挥不充分问题，深挖根源，根据部党组巡视整改工作方案要求，列出整改时间表、路线图，一个问题一个问题抓好整改，一条措施一条措施抓好落实；要压实整改责任，加强作风建设，力戒形式主义、官僚主义。
会议强调，系统上下要凝心聚力，围绕做好巡视整改工作，全面推动贫困人口基本养老保险应保尽保，优化社保接续流程，提高职工养老保险、失业保险、工伤保险基金统筹层次，建立城乡居民养老保险待遇确定和基础养老金正常调整机制。
人力资源社会保障部、发改委、财政部、国务院扶贫办相关单位负责同志，各省、自治区、直辖市、新疆生产建设兵团及“三区三州”人社部门负责人共150人参加会议。会上，云南省保山市人社局等10个单位介绍了社会保险扶贫和城乡居民养老保险工作的典型经验。"
第一版 要闻,坚守下的美丽人生,,"
图为蔡兰（右）指导参保单位网上办业务。
“个人缴费一部分进入社会统筹，一部分进入个人账户。咱们宁夏是1996年建立个人账户的，1996年至1997年个人账户记账比例是12%，1998年至2005年是11%，2006年以后是8%，个人账户利率是参考同期的银行存款利率来计算的，而且是逐年度进行对比计算的……”听到一连串如数家珍的答复，虎丽娜深深感受到了蔡兰对政策熟悉的实力。
虎丽娜是宁夏固原一家人寿保险公司的业务员，从2003年5月起，以灵活就业人员身份参加了企业职工养老保险并开始缴费，截至2018年底，共缴纳了60396.8元。“但是，我的个人账户累计额却只有34347.29元，我当时认为自己全额缴纳的费用应全部进入我的个人账户。那些没记入个人账户的钱到底哪儿去了？个人账户累计额是怎样计算的？”
面对虎丽娜诸多疑问，身为固原市社会保险事业管理局社保大厅负责人的蔡兰一一作答。此时的她，平静且自信。
“社保大厅有蔡兰这样精通业务、待人和蔼的工作人员，那是固原群众的福气。”虎丽娜说。
知难而上——乐为“社保公仆”
蔡兰曾经在家乡彭阳县当过教师，2003年调入固原市社会保险事业管理局，从一名普通工作人员一直干到了社会保险登记征缴科科长、固原市社会保险经办大厅负责人，成了固原市广大参保人员和1500多户企业的“社保公仆”。
“专业知识全面、业务技能娴熟、服务态度热情”，这是同事及众多认识蔡兰的参保群众给予她的评价。
“2003年刚刚来到新单位的时候，关于社保二字，只有大概念。对于准确的概念，脑子里完全空空的。”蔡兰回忆说，面对陌生的一切，她鼓足勇气，踏上未知征途。
“由于历史原因，2003年前宁夏全区各地的基本养老保险缴费信息全部是通过人工操作记录而成。而我调来的时候，恰好赶上社会保险业务从手工操作向计算机系统过渡。”面对多年来靠人工操作记录而积累起来的海量信息，蔡兰选择知难而上。
“过去是人工记录，固原全市范围内的参保职工信息多少会有出入。比如说同一个姓名，竟然会出现音同字不同的现象。有的参保职工的出生日期只登记了出生年份而没有精确到月、日。还有的家庭住址栏空白、身份证号还是过去的15个数字。”就这样，每天提前到岗，最后一个下班离开，几乎成了蔡兰工作的常态。
通过翻阅缴费名册档案和其本人养老保险手册比对核实，蔡兰提前完成了固原全市10多万名参保职工的个人信息录入工作，为以后固原市社保费征缴工作扫清了障碍。
社保费征缴是社保工作的难中之难、重中之重，头绪多、政策多。这项工作需要富有挑战精神的人去攻坚克难，而蔡兰正具备这一特质。很快，她便成为固原市乃至宁夏社保费征缴工作领域的突出人物。固原市社会保险事业管理局登记征缴科连续多年获得宁夏人社厅颁发的养老保险费征缴一等奖。
近些年，固原市不断推进经济体制改革，参保人员在国有企业与私营企业之间流动、企业化管理的事业单位转制为企业、私营企业迅速壮大等新形势给养老保险工作带来新问题。固原市社会保险政策也应时完善，新政策相继出台。作为征缴和经办窗口的负责人，蔡兰需要尽快了解新政策的内容和调整背景，这样才能在办事群众面前做到淡定从容。
据蔡兰同事介绍，蔡兰在最短的时间内先后查阅了近30年来上至国家、下至宁夏固原所有关于社会保险的政策，对参保登记、缴费基数、缴费比例、个人账户记载、社会保险关系转移、灵活就业人员参保等相关规定，烂熟于心。
为人随和，知识面广，勤奋好学，社保大厅窗口工作人员尊称蔡兰为“兰姐”。有问题找“兰姐”，更成了同事们的口头禅。
“谢谢兰姐！谢谢兰姐！”年龄比蔡兰大许多的王志才在社保大厅不停地感谢着他的恩人。
“我是原固原县运输公司的下岗职工。2018年初，我就达到了国家法定退休年龄。但由于单位解散多年，我的档案材料不知弄哪儿去了。”得知自己退休证明无从办理的消息后，平素老实的王志才心急如焚，这可关系到自己的养老钱啊。王志才找了不少部门，得到的答复都是相同的——“无法补救”。万念俱灰之际，他偶然听别人说起固原市社保大厅有个叫“兰姐”的“社保通”，而且还是个“热心肠”。王志才揣着焦虑和疑惑找上门来。听明白了来龙去脉，蔡兰觉得还有补救的希望。“查阅原始档案，寻找证明。”安慰了王志才把他送出大厅后，蔡兰就泡在了社保局档案科，一卷一卷查阅当年的参保缴费花名册，又通过固原市原州区档案局查阅其历史材料。最终，王志才曾经在原固原县运输公司工作的全部信息完整呈现出来。
当王志才拿到署着自己名字的退休证后，他忘情地拉着蔡兰的手，用颤抖的声音一遍遍重复着“谢谢兰姐”。
“只要群众来到社保大厅，肯定是有事而来。所以，我们所有的工作人员都会尽心尽力地帮着他们想办法、出主意。”作为大厅负责人，蔡兰说自己总会换位思考，“假如我要是有急事、难事，那他们会怎么给我解决问题呢？”
热心耐心——畅通“堵点”“难点”
随着固原市城镇化建设进程的加快，固原市城乡居民社保覆盖面不断扩大，社保大厅工作业务量逐年成倍增长。参保人员的情况千差万别。吃透政策，是对每名社保工作人员的基本要求，而耐心细致的服务，更让惠民的政策拥有了暖人的温度。
每年的年末岁首，是固原市社保大厅参保缴费人员聚集的高光时段。提前20分钟到岗的工作人员，只要把社保大厅大门打开，就一路忙到下班了，连中间上洗手间的时间都显得奢侈。等最后一名缴费人员离开，从嘈杂转为静谧的大厅，便迎来每天的“蔡兰时间”。
“安静了，我就可以安心地将一整天的工作理清，看看是否出现误差。单位缺人手，需要我们每个人多承担些工作，不能因为我们工作的失误给参保个人带来影响。”蔡兰说道。
社保大厅是窗口，蔡兰从着装到言行都给工作人员提出要求，“不管遇到什么情况，微笑始终要写在脸上。”蔡兰说，前来大厅办事的人多，等候时间长，群众难免产生怨言。“快了，请您稍等”“前面的人很快就办完了，马上就该轮到您了”“老人不识字，稍微慢点，请您多多担待”，这一系列温馨的语言是安抚焦躁情绪的好办法。
“固原市是劳动力转移就业的大市，很多年轻劳动力外出务工，家里留守人员中老年人居多。这些替子女缴费的老年人成了缴费的主要群体。”蔡兰说，由于一些老人不会说普通话，语音表达不清，填写表格时还需工作人员耐心帮助。
“这个媳妇子（固原方言——结过婚的女人）能干得很。”每年9月，张晓宏老人都会接到蔡兰的电话，告诉他可以到社保大厅给女儿缴费了。10年来，每次到社保大厅，张晓宏都会专门找蔡兰。“七八月份天气热，十一二月份又太冷，所以她每年都会在这个时候通知我过来。这个媳妇子就是心细，可会体贴人啦。”提起蔡兰，张晓宏老人连声称赞。
2018年9月的一天，张晓宏再次来到社保大厅，对蔡兰开心地说，“俺女子终于在北京落户了，我这一直悬着的心啊，总算踏实了！”突然，老人转换了语气，“可是，她在咱们这儿缴的保险咋办呢？”
“您不用愁，现在社会保险关系全国已能正常转移接续，如您需要，今天就给您办理转移手续。”看着一脸茫然的老人，蔡兰抓起手机拨通了老人女儿的电话，确认张晓宏女儿现在只需将社保关系转入北京即可。给老人女儿开具完养老缴费凭证后，细心的蔡兰发现，老人女儿的医疗保险关系尚在银川。蔡兰赶紧与银川市职工医保窗口取得联系，把了解到的医疗保险关系办转流程一一讲给张晓宏。
如今，群众的社保诉求越来越多元，解决问题的渠道也变得便捷畅通，尽快解决“堵点”“难点”“最后一公里”的难题，给社保大厅的窗口服务提出了更高要求。
蔡兰说：“尽管有些群众诉求不合理，但你必须给对方一个合理的解释，这样才能缓解矛盾。”
一天，原州区明庄村村民明占均老人被孙子背到了社保大厅，后面还跟着10多名气势汹汹的村民。明占均一屁股坐在地上，大声诉着委屈。蔡兰赶紧从窗口起身，搬过来一把椅子，好说歹说，把老人扶到了椅子上。蔡兰端着一杯水弯腰递给老人，轻言细语地询问老人的来意。明占均把水杯交给孙子，颤抖着从上衣兜里掏出一张缴费单，大声说，“我和我们村的冯天梅都是被征地农民，也都参加了职工养老保险，而且还都是1944年10月出生的，人家咋才缴费一万多元，而我却要缴3万多元，这是怎么回事？今天我们到这里来，你们要给我解释解释。”老人越说越气愤，大厅里众多围观者也传出窃窃议论声。
听清情况后，蔡兰心平气和地说：“您先息怒，我立刻查一下情况。”调阅出明占均和冯天梅两位老人的基本信息后，蔡兰发现两位老人的被征地时间不同：冯天梅被征地时间是2014年11月，被征地时已年满70周岁，按政策规定缴费数额应减免一半。而明占均的被征地时间为2013年12月，其被征地时不满70周岁，按规定应全额缴费。
蔡兰细细地跟明占均老人及其家属、村民解释，但无论如何，老人就是觉得不对，情绪几近失控。蔡兰留意到老人身旁一名三四十岁的人不断地与老人耳语，便将他独自请到咨询台旁，拿出相关文件逐条解释。得知这名亲属也是以被征地农民身份参加的养老保险，蔡兰随即把他的缴费数额详细地计算了一遍。这名亲属的情绪逐渐平复下来，转身给明占均讲起了政策。最终，在家人的搀扶下，老人平静地离开大厅，围观的人群也逐渐散去。
大厅里的工作人员在为蔡兰捏把汗的同时，也真正领略了蔡兰在疾风暴雨中，如何以自己的“热心、爱心、耐心、细心”平静化解矛盾的魄力和实力。
精准快捷——网上人社助力
2017年，随着“放管服”改革的不断深入，固原市社会保险事业管理局按照“网上人社”的要求，开始打造互联网+人社服务新模式，推行“不见面，马上办”。2018年，固原市社会保险事业管理局除了在经办窗口推行“五制”“四公开”“三亮明”等一系列制度外，还帮助来办事的群众下载安装人社掌上12333手机APP，现场教授如何查询信息、认证、缴费，使得更多的参保人员足不出户就可以办理社保相关业务。
掌上12333推开了，可很多老年人还是到大厅窗口办理认证。“很多老人拿的是老年机，不是智能手机。”蔡兰一边拿自己的手机给老人认证，一边微笑着告诉老人，“下载了人社掌上12333的APP，以后您老人家就不用再往这里跑，您在自家的热炕头上就能完成认证啦。要是您没事，咱还可以视频聊聊天。”老人们也觉得颇为有趣，“现在真好，在手机里照个镜子，点点头、眨眨眼，你们社保局就知道我好着呐。”
老人离开社保大厅的时候，蔡兰都会托老人给子女带个小礼物——人社掌上12333的下载宣传彩页，并在彩页上写下窗口的联系方式。“年轻人掌握这个快，而且还特别方便。”
“80后”的李莉，自称用手机完成了一项“壮举”：“下载后直接帮家里6位老人一次性解决社保认证问题，人社掌上12333真是我的好帮手，省时省力效率高！”
因着这一份执着坚守，蔡兰已经连续9年被固原市人社局评为优秀工作者，2012年被宁夏回族自治区妇联评为“三八”红旗手，2013年被宁夏回族自治区社会保险事业管理局评为全区社会保险经办先进工作者。她所在的固原市社会保险事业管理局社保大厅已先后4次被评为全国人社系统优质服务窗口。
“只因一次真诚的传帮带，一个驻足指导的机缘，让我们相识相知。”这是曾在固原市服役、名叫鲁晓强的安徽池州转业军人发给蔡兰的信息。15年来，蔡兰因社保工作与百姓结缘，用热心、真诚温暖着他人，美丽着人生。"
第一版 要闻,深化工程技术人才职称制度改革,,"本报北京讯 （记者 任社宣）近日，人力资源社会保障部、工业和信息化部印发《关于深化工程技术人才职称制度改革的指导意见》（以下简称《意见》），部署工程技术人才职称制度改革工作。
《意见》指出，深化工程技术人才职称制度改革，对于提高我国原始创新能力、实现关键核心技术突破、促进产业结构优化升级，建设创新型国家和世界科技强国具有重要意义。要通过健全制度体系、完善评价标准、创新评价机制、实现与人才培养等制度有效衔接等措施，形成设置合理、覆盖全面、评价科学、管理规范的工程技术人才职称制度。
《意见》强调，要健全制度体系。增设正高级工程师，扩展工程技术人才职业发展空间；实现与工程领域职业资格制度的有效衔接，实行职业资格考试的专业，不再开展相应层级的职称评审；实行评审专业动态调整，促进评审专业设置与国家战略需求和产业发展同步。要完善评价标准。分专业领域完善评价标准，淡化学历、论文、奖项要求，突出对业绩水平和实际贡献的评价，重大原创性研究成果可“一票决定”。要创新评价机制。建立以同行专家评议为基础的业内评价机制，注重社会和业内认可；对艰苦边远地区和基层一线工程技术人才，采取“定向评价、定向使用”方式；对引进的海外高层次人才，引入国际同行评价。要促进职称制度与人才培养、使用相结合，推动与工程类专业学位研究生教育有效衔接；强化协同育人理念，发挥企业等用人主体作用，实现评价标准与培养标准深度融合。要加强事中事后监管，加强对职称评审全过程的监督管理，健全公共服务体系，精简证明材料，减少证明事项，减轻人才评价负担。
《意见》指出，工程技术人才职称制度改革涉及广大工程技术人才的切身利益，改革工作复杂，社会高度关注，要按照国家统一部署，加强组织领导，抓好贯彻落实。各地区、各部门要精心组织，稳慎实施，抓紧制定具体实施方案和配套办法，细化工作措施，完善工作预案。要加强宣传引导，搞好政策解读，引导工程技术人才积极支持和参与工程技术人才职称制度改革，营造有利于推进改革的良好氛围。"
第二版 组织工作,四川泸州百条负面清单促担当,,"本报泸州讯 （通讯员 周柏林）日前，四川泸州市印发干部不担当不作为负面清单100条，反向督促各级干部勇于担当、善于作为，营造积极的干事创业氛围。
该市围绕脱贫攻坚、环境保护、高质量发展等当前重点工作，紧盯不担当不作为的各种老问题和新表现，从“贯彻中央、省委、市委精神”“工作态度、作风”“攻坚克难深化改革”“推动发展改善民生”“化解矛盾维护稳定”“管党治党”6个方面梳理出干部不担当不作为的100种情形。要求广大干部主动对照检查，不当老好人、圆滑官、太平官，对发现有不担当不作为的，及时提醒、责令检查或诫勉；问题突出的，严肃组织处理；涉嫌违纪违法的，及时移交纪检监察机关或司法机关。"
第二版 组织工作,甘肃靖远干部脱贫一线墩苗,,"本报靖远讯 （通讯员 陶怡睿 常玉诚）去年以来，甘肃靖远县坚持把脱贫攻坚一线作为干部锤炼品格、磨炼意志、积累经验、增长才干的“炼钢炉”，牢固树立在脱贫攻坚一线考察识别和选拔任用干部的鲜明导向，激励干部主动作为、贡献力量。
该县有计划地安排干部到贫困村、到急难险重工作一线墩苗，从优选拔421名优秀干部组成90个驻村帮扶工作队开展驻村帮扶工作，有效整合村党支部、驻村帮扶工作队和第一书记三支力量，形成抓脱贫攻坚的整体合力。注重扶贫一线考察识别干部，把脱贫攻坚工作成效作为检验和识别干部的重要标准，在脱贫攻坚进程中考察识别服务意识强、苦干实干、群众口碑好的干部，对工作实绩突出、成效明显的脱贫攻坚一线干部，在评先评优、表彰奖励、推荐后备干部时给予优先考虑，以鲜明的用人导向汇聚干事创业正能量。"
