标题,标题1,作者,内容
第一版 要闻,聚焦突出问题和重点任务精准发力,,"新华社南宁2月13日电 深度贫困地区脱贫攻坚座谈会13日在广西河池召开，中共中央政治局委员、国务院扶贫开发领导小组组长胡春华出席座谈会并讲话。他强调，深度贫困地区是决定脱贫攻坚进展和成效的关键区域，要深入贯彻习近平总书记关于扶贫工作的重要论述，落实中央经济工作会议和中央农村工作会议精神，以更有力的举措、更扎实的行动，全方位深入推进深度贫困地区脱贫攻坚，确保同全国一道全面建成小康社会。
胡春华指出，必须瞄准深度贫困地区脱贫攻坚突出问题和重点任务精准施策、聚力攻坚。要下大力气解决“两不愁三保障”突出问题，完成好控辍保学、健康扶贫、危房改造和饮水安全等工作。要因地制宜发展特色优质高效产业，加快补齐基础设施和公共服务短板，统筹谋划好脱贫攻坚与乡村振兴衔接，促进贫困群众稳定脱贫和贫困地区持续发展。要抓好巡视发现问题整改，强化责任落实，加大支持保障力度，发挥好东西部扶贫协作和对口支援、中央单位定点扶贫作用，激发贫困群众内生动力，全面提高脱贫攻坚工作质量和成效。
座谈会前，胡春华到河池市大化瑶族自治县雅龙乡、都安瑶族自治县东庙乡等地，看望慰问贫困群众，实地了解深度贫困地区“两不愁三保障”、产业扶贫、易地扶贫搬迁等工作进展情况。"
第一版 要闻,广东潮州：乡土味党课“吃香”,,"本报潮州讯 （通讯员 潮组轩）去年以来，潮州市通过打造“头雁”宣讲队伍，制作乡土味教材，激活镇街党校主阵地功能，让党课更具吸引力和感召力。
主讲本土化。选拔一批政治素质高、口头表达能力强的村党组织书记为宣传员，组成“头雁”示范宣讲队伍。从党建示范村、省定贫困村、软弱涣散村、“红色村”中挑选近百名党组织书记，通过“书记论坛”开展现场观摩，带动壮大宣讲队伍。语言乡土化。组织宣传员录制潮州方言宣传视频，制作“基层农村潮语版”党课示范片，用看得懂、听得进的家常话，提高农村党员听党课的积极主动性。内容实用化。宣传员结合自己的所学、所思、所悟和改革开放以来乡村的变化，针对人居环境整治、壮大集体经济收入、乡村文明树新风等群众关心的热点、难点问题，谈体会、找差距、讲思路、谋发展，让党员愿意听、愿意信。
去年以来，“头雁”宣传员到53个镇街党校送课300多场，该市7.2万名镇村基层党员实现全员轮训。"
第一版 要闻,兑现承诺 盘点清单,,"1月17日，宁夏回族自治区党委召开2018年度地级市党委和自治区各行业系统党（工）委书记抓基层党建述职评议考核会。此次党建述职评议考核，将问题导向贯穿全过程，全面推动基层党建工作任务落实，让各级党组织书记普遍接受了一次“党建大考”。
开门交账 盯住问题一个一个解决
“认真落实去年反馈问题，94.9%的村有了集体经济收入，非公经济组织和社会组织党组织覆盖率分别达到79%和51%。”“全额落实村级办公经费和为民服务资金4931.5万元，新建、改扩建村级组织活动场所48个。”……一个个精准的数字后面，兑现的是承诺，解决的是问题。
坚持问题导向、聚焦解决问题，按照要求，述职人在说成绩之前先汇报上年度反馈问题整改情况。据统计，2017年梳理反馈的28个问题，已全部整改。
此外，本次述职确立了“简要讲成绩、重点谈问题”的“考场纪律”，大家晒成绩言简意赅，谈问题直面痛点。“推动责任落实还有差距，农村党组织带头人‘头雁’效应还不够明显”“在抓基层党建上，听汇报多，面上提要求多，需要在今后工作中加以改进”……述职人既点出了党组织层面问题，也坦承了个人履职不足。
每名述职人员汇报后，自治区党委书记石泰峰都逐一点评，直指短板，切中要害，对需要加强和改进的工作提出明确要求。例如，针对国有企业重经济轻党建问题，他严肃指出“有的企业党委和领导干部政治意识不强、政治站位不高、党的建设乏力”，要求“进一步强化政治建设和抓党建的责任意识，从基本组织、基本队伍、基本制度严起，围绕企业改革发展和生产经营找准党建工作的突破口和发力点”。一些述职人会后感叹：“泰峰书记的点评精准到位，让人脸红冒汗，但心服口服。为了明年少冒汗，今年必须多流汗，将工作做得更实。”
盘点清单 紧扣重点一项一项梳理
为确保述职汇报不敢假、领导点评把正脉、考核测评有依据，去年12月，自治区党委组织部组成5个督查调研组，通过直接问、随机考、多方听、全面看等方式，对全区基层党建工作进行了督查调研。督查调研组深入机关、企业、乡镇、村、社区等176个基层党组织，访谈党员干部288人，听取基层党组织和党员群众的意见。
现场检验的是抓党建的态度和实效。2018年，该区各级党组织把基层党建紧紧抓在手上、责任扛在肩上，不断探索新思路、新方法，取得了良好成绩：新建、改扩建村级组织活动场所683个；坚决调整撤换不胜任、不合格、不尽职村党组织书记248名，确定5000余名村党组织书记后备人才；选派3941名干部组成1512个工作队驻村帮扶，选派1512名优秀干部到贫困村和软弱涣散村担任党组织第一书记，实现1100个建档立卡贫困村全覆盖……
明确目标 党建责任一层一层压实
述职会既是一次同台竞技的工作交流会，也是一次把脉问诊的工作部署会。会上，石泰峰对大家的点评，为各地各单位今年的基层党建工作明确了任务书、画出了“路线图”。
石泰峰在述职会讲话中强调，各级党委（党组）要用好党建工作述职评议考核机制，抓实联述联评联考，建立各级党组织抓基层党建的责任清单，将管党治党责任层层进行分解，把责任压紧压实，构建横向到边、纵向到底的责任体系，切实把党建责任传导到“神经末梢”、任务落实到“基层细胞”，坚决纠正“上热中温下冷”现象。
述职结束后，自治区党委组织部向述职单位反馈问题33条，各级党组织也向下级党组织反馈了问题和意见。各级党组织对照会议点评、自己查摆、群众评议中指出的问题，逐一建立问题台账、责任台账、整改台账，确保在下一年度述职评议时逐一“交账”。"
第一版 要闻,认真践行新时代党的组织路线,,"本报哈尔滨讯 （通讯员 龙组轩）2月13日上午，黑龙江召开全省组织部长会议，研究部署2019年全省组织工作。省委常委、组织部长王爱文出席会议并讲话。
会议要求，各级组织部门要以习近平新时代中国特色社会主义思想为指导，认真践行新时代党的组织路线，在抓落实、抓创新上下功夫，为实现龙江全面振兴提供坚强组织保证。
会议强调，要加强政治建设和理论武装，组织开展好“不忘初心、牢记使命”主题教育。考实考准干部政治素质，激励干部担当作为，大力培养选拔优秀年轻干部，着力建设能够担当全面振兴全方位振兴历史重任的高素质专业化干部队伍。扎实推进党的基层组织建设。聚焦解决创新人才偏少问题，努力集聚各方面优秀人才，支撑龙江高质量发展。整体推进公务员管理工作。持续深入推进作风整顿，优化营商环境。努力建设“政治上绝对可靠、对党绝对忠诚”的组织部门和过硬组工干部队伍。"
第一版 要闻,为高质量跨越式发展提供坚强组织保证,,"本报昆明讯 （通讯员 云祖轩）1月24日，云南召开全省组织部长会议，部署2019年工作任务。省委常委、组织部长李小三出席会议并讲话。
会议强调，要提高政治站位，树牢“四个意识”、坚定“四个自信”、坚决做到“两个维护”，按照新时代党的建设总要求和新时代党的组织路线要求，求真务实、狠抓落实，为云南高质量跨越式发展提供坚强组织保证。
会议指出，要坚持把党的政治建设摆在组织工作首位，持续推动学习习近平新时代中国特色社会主义思想深化、转化、常态化。组织实施好“不忘初心、牢记使命”主题教育，推动广大党员干部悟初心、守初心、践初心。加强领导班子和领导干部政治素质考察。旗帜鲜明树立“有为者有位、吃苦者吃香”的用人导向，大力发现选拔敢于负责、善于作为的干部。建立持续发现优秀年轻干部的常态化机制，探索企事业单位优秀年轻人才进入党政机关机制。扎实开展“基层党建创新提质年”，推动基层党建全面进步全面过硬。大力推进抓党建促脱贫攻坚，在选优配强贫困地区领导班子和干部队伍上发力，深入推进脱贫攻坚一线考察识别干部工作，精准选派、管好用好第一书记和驻村工作队员。继续深化人才发展体制机制改革，完善人才计划配套细则，全面提升云南人才品牌竞争力。"
第一版 要闻,河北精准帮扶特困离退休干部,,"本报石家庄讯 （通讯员 冀组轩）近年来，河北不断完善困难离退休干部帮扶工作机制，对生活困难、身患重病的老同志，特别是困难地区、困难行业、困难单位的老同志给予重点关注。
对特困离退休干部实行建档立卡，根据困难程度划分档次、分配帮扶资金。2018年，投入帮扶资金438.7万元。广泛调动社会资源，落实好各项社会保障和社会救助政策措施。其中，为省直特困企事业单位离休干部631人次发放一次性生活补贴；为贫困县离休干部14984人次申请财政医药费补贴；慰问易地安置离休干部295人次，发放慰问金。各市、雄安新区，省（中）直各单位也积极开展帮扶工作，争取各类资金5580万元。
开展“慰问+”活动，即：慰问+宣讲习近平新时代中国特色社会主义思想和党的十九大精神，慰问+传达学习习近平总书记关于老干部工作的重要论述，慰问+转达省委省政府对老同志的诚挚问候，慰问+收集老同志需要解决的实际问题等。对个性问题坚持一事一议、一人一议、特事特办，进一步完善帮扶工作机制。"
第一版 要闻,上海长宁区：政治标准考察可视化,,"本报上海讯 （通讯员 沪组）为全方位、多视角考察干部政治表现，2017年以来，上海长宁区结合干部工作规律积极探索，形成“四个一”可视化考察工具。
形成一份访谈提纲。根据巡察工作、专项工作、提任考察等不同考察类型，有针对性地设计访谈提纲，将考察融入具体工作表现。
完善一份测评表。梳理“新时代突出政治标准选拔干部考量表”。结合大调研，了解干部日常工作生活中不符合政治标准的具体表现。在“德的方面测评表”基础上，聚焦政治忠诚、政治定力等五个方面，从正反两方面形成“践行政治标准的表现测评表”。
建立一份政治表现记实表。如实记录日常考察、专项考察、提任考察三个方面，包括区委巡察、民主生活会等九项工作中干部的政治表现，形成干部政治表现正负面记实表。
开展一次政治理论测试。将深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神等政治理论情况，作为检验干部政治标准的重要参考，结合提任、培训、主题学习等，探索开展系列政治理论测试。"
第一版 要闻,江西：群众办事 一网搞定,,"本报南昌讯 （通讯员 赣仁轩）今年起，江西省人社厅将全面推进公共服务体系建设，推动审批服务理念、制度、作风全方位深层次变革。
在服务事项标准化方面，采取制定统一梳理标准等5项措施，实现服务事项“全省统一”。在服务手段信息化方面，采取建设全省统一的人社一体化综合平台等6项措施，实现服务对象办事“一次注册、各地互认，单点登录、全网通行，一网通办、全省通办”。在服务渠道多元化方面，采取打造PC端和移动端线上服务渠道等6项措施，实现服务对象办事“马上办、网上办、就近办、一次办”。在服务能力专业化方面，采取建立健全专业化培训机制等3项措施，强化队伍能力素质，规范服务行为方式，提升服务质量效能。
6月底前，将基本完成标准化工作，启动一体化综合平台建设、各业务系统新建改造。12月底前，基本完成一体化综合平台和部分基层应用支撑服务建设，完成公共就业、机关事业单位养老等4个优先接入业务系统的对接，逐步改善基层平台硬件条件，窗口人员培训覆盖率达到50%以上。"
第一版 要闻,图片报道,,"
初春时节，贵州赤水市旺隆镇选派党员技术骨干走进田间地头，指导果农做好病虫害防治、灌溉施肥等，助力打好初春攻坚战。图为党员农技干部在鸭岭村教果农修剪果树枝。
张鹏 邹进 摄"
第二版 组织工作,双向约谈解包袱鼓干劲,,"本报十堰讯 （通讯员 刘永强）着力推动严管厚爱、激励约束落到实处，近年来，湖北十堰市创新实行干部双向约谈制度，市县组织部门共约谈干部6341人次，力求干部有问题组织及时提醒、干部有疑惑组织及时化解。
着力发挥常态谈话“润滑剂”作用，该市实行“三个明确”。明确约谈主体，按组织部门主动约谈干部和接受干部约谈两种方式，分层分类确定约谈对象；明确约谈情形，细化“表达个人合理诉求”等5种干部约谈组织部门情形，“个人或家庭遭遇重大变故”等组织人事部门约谈干部的8种必谈情形；明确约谈程序，按照信息收集、对象提出、事项确认、情况记录、办理归档等5个步骤实施约谈。
该市坚持把握政策与以人为本结合，规定约谈遵循6项原则，为谈话设定合理边界，督促既不做“老好人”，更不乱许愿；实行直接约谈和间接约谈结合，除当面约谈干部，也可通过电话、微信等沟通交流；实行定期约谈和随机约谈结合，对干部倾向性、苗头性问题，随时警示约谈，促进红脸出汗成为常态。通过灵活的约谈方式，变“组织下去了解”为“多方问计”“干部上来献策”，让常态谈话成为组织工作的助推器。充分吸收合理意见建议，创新实施“一村多名大学生计划”，出台《村干部绩效考核办法》，激励干部人才干事创业。
为增强约谈实效，该市通过“三个注重”，变“组织监督干部”为“双向监督、双向联系、双向促进”，及时解除党员干部思想包袱、鼓舞工作干劲，让组织部门作为干部之家，有家规、更有温暖。注重限时办理，对能当场答复的当场予以答复，对需协调解决的15个工作日内予以解决；注重跟踪反馈，建立问题反馈台账，实行跟踪问效和销号管理；注重总结提升，推进干部监督与其他工作深度融合，把双向约谈作为综合研判领导班子和干部队伍现状的重要手段，会诊辨析约谈发现的问题，及时改进工作方法。"
